,Unnamed: 0,Suburb,Address,Price,Lattitude,Longtitude,Type,Distance,CouncilArea,public_transport.train Name,commercial.shopping_mall Name
0,0,Abbotsford,85 Turner St,1480000,-37.7996,144.9984,h,2.5,Yarra,Yes,Yes
1,1,Abbotsford,25 Bloomburg St,1035000,-37.8079,144.9934,h,2.5,Yarra,Yes,Yes
2,2,Abbotsford,5 Charles St,1465000,-37.8093,144.9944,h,2.5,Yarra,Yes,Yes
3,3,Abbotsford,40 Federation La,850000,-37.7969,144.9969,h,2.5,Yarra,Yes,Yes
4,4,Abbotsford,55a Park St,1600000,-37.8072,144.9941,h,2.5,Yarra,Yes,Yes
5,5,Abbotsford,129 Charles St,941000,-37.8041,144.9953,h,2.5,Yarra,Yes,Yes
6,6,Abbotsford,124 Yarra St,1876000,-37.8024,144.9993,h,2.5,Yarra,Yes,Yes
7,7,Abbotsford,98 Charles St,1636000,-37.806,144.9954,h,2.5,Yarra,Yes,Yes
8,10,Abbotsford,6/241 Nicholson St,300000,-37.8008,144.9973,u,2.5,Yarra,Yes,Yes
9,11,Abbotsford,10 Valiant St,1097000,-37.801,144.9989,h,2.5,Yarra,Yes,Yes
10,15,Abbotsford,411/8 Grosvenor St,700000,-37.811,145.0067,u,2.5,Yarra,Yes,Yes
11,16,Abbotsford,40 Nicholson St,1350000,-37.8085,144.9964,h,2.5,Yarra,Yes,Yes
12,17,Abbotsford,123/56 Nicholson St,750000,-37.8078,144.9965,u,2.5,Yarra,Yes,Yes
13,20,Abbotsford,45 William St,1172500,-37.8084,144.9973,h,2.5,Yarra,Yes,Yes
14,21,Abbotsford,7/20 Abbotsford St,441000,-37.8016,144.9988,u,2.5,Yarra,Yes,Yes
15,22,Abbotsford,16 William St,1310000,-37.809,144.9976,h,2.5,Yarra,Yes,Yes
16,23,Abbotsford,42 Henry St,1200000,-37.8056,144.993,h,2.5,Yarra,Yes,Yes
17,25,Abbotsford,78 Yarra St,1176500,-37.8021,144.9965,h,2.5,Yarra,Yes,Yes
18,26,Abbotsford,196 Nicholson St,955000,-37.8022,144.9975,h,2.5,Yarra,Yes,Yes
19,27,Abbotsford,42 Valiant St,890000,-37.8011,145.0004,h,2.5,Yarra,Yes,Yes
20,28,Abbotsford,3/72 Charles St,1330000,-37.8073,144.9952,h,2.5,Yarra,Yes,Yes
21,29,Abbotsford,13/11 Nicholson St,900000,-37.8093,144.9959,t,2.5,Yarra,Yes,Yes
22,30,Abbotsford,138/56 Nicholson St,1090000,-37.8078,144.9965,u,2.5,Yarra,Yes,Yes
