,Unnamed: 0,Suburb,Address,Price,Lattitude,Longtitude,Type,Distance,CouncilArea,public_transport.train Name,commercial.shopping_mall Name
0,53,Airport West,50 Bedford St,730000,-37.7203,144.8755,h,13.5,Moonee Valley,Not found,Yes
1,54,Airport West,50 Bedford St,770000,-37.7203,144.8755,h,13.5,Moonee Valley,Not found,Yes
2,55,Airport West,23 Hart St,603000,-37.7294,144.888,h,13.5,Moonee Valley,Not found,Yes
3,57,Airport West,1/37 Hillside Gr,600000,-37.7273,144.8744,h,13.5,Moonee Valley,Not found,Yes
4,64,Airport West,54 Marshall Rd,720000,-37.7173,144.8872,h,13.5,Moonee Valley,Not found,Yes
5,65,Airport West,36 Roberts Rd,785000,-37.7259,144.8792,h,13.5,Moonee Valley,Not found,Yes
6,66,Airport West,11 Harrington Rd,725000,-37.7239,144.8735,h,13.5,Moonee Valley,Not found,Yes
7,71,Airport West,3 Deidre Ct,895000,-37.7249,144.8728,h,13.5,Moonee Valley,Not found,Yes
8,73,Airport West,13 Etzel St,805000,-37.7217,144.8783,h,13.5,Moonee Valley,Not found,Yes
9,81,Airport West,241 Parer Rd,755000,-37.7248,144.8699,h,13.5,Moonee Valley,Not found,Yes
10,85,Airport West,180 Parer Rd,830000,-37.7186,144.876,h,13.5,Moonee Valley,Not found,Yes
11,87,Airport West,43 Hillside Gr,670000,-37.7269,144.8742,h,13.5,Moonee Valley,Not found,Yes
12,88,Airport West,174 Parer Rd,675000,-37.7187,144.8765,h,13.5,Moonee Valley,Not found,Yes
13,89,Airport West,138 Victory Rd,1042000,-37.7173,144.8796,h,13.5,Moonee Valley,Not found,Yes
14,90,Airport West,75 King St,910000,-37.7231,144.8835,h,13.5,Moonee Valley,Not found,Yes
15,91,Airport West,6 Kittyhawk St,773000,-37.7263,144.8679,h,13.5,Moonee Valley,Not found,Yes
16,93,Airport West,478 Fullarton Rd,810000,-37.7285,144.8694,h,13.5,Moonee Valley,Not found,Yes
17,94,Airport West,144 Marshall Rd,715000,-37.7164,144.8792,h,13.5,Moonee Valley,Not found,Yes
18,95,Airport West,106 Parer Rd,790000,-37.7194,144.8827,h,13.5,Moonee Valley,Not found,Yes
19,99,Airport West,10 Hilbert Rd,685000,-37.7226,144.8733,h,13.5,Moonee Valley,Not found,Yes
20,101,Airport West,110 Halsey Rd,805000,-37.7184,144.882,h,13.5,Moonee Valley,Not found,Yes
21,103,Airport West,105a Victory Rd,612000,-37.7181,144.8824,h,13.5,Moonee Valley,Not found,Yes
22,104,Airport West,117 Marshall Rd,662000,-37.7169,144.8815,h,13.5,Moonee Valley,Not found,Yes
23,105,Airport West,34 Moorna Dr,978000,-37.7263,144.869,h,13.5,Moonee Valley,Not found,Yes
24,106,Airport West,33 North St,720000,-37.72,144.878,h,13.5,Moonee Valley,Not found,Yes
25,112,Airport West,49 Roberts Rd,765000,-37.7261,144.8785,h,13.5,Moonee Valley,Not found,Yes
