,Suburb,Address,Price,Lattitude,Longtitude,Type,Distance,CouncilArea,public_transport.train Name
0,Abbotsford,85 Turner St,1480000,-37.7996,144.9984,h,2.5,Yarra,Yes
1,Abbotsford,25 Bloomburg St,1035000,-37.8079,144.9934,h,2.5,Yarra,Yes
2,Abbotsford,5 Charles St,1465000,-37.8093,144.9944,h,2.5,Yarra,Yes
3,Abbotsford,40 Federation La,850000,-37.7969,144.9969,h,2.5,Yarra,Yes
4,Abbotsford,55a Park St,1600000,-37.8072,144.9941,h,2.5,Yarra,Yes
5,Abbotsford,129 Charles St,941000,-37.8041,144.9953,h,2.5,Yarra,Yes
6,Abbotsford,124 Yarra St,1876000,-37.8024,144.9993,h,2.5,Yarra,Yes
7,Abbotsford,98 Charles St,1636000,-37.806,144.9954,h,2.5,Yarra,Yes
10,Abbotsford,6/241 Nicholson St,300000,-37.8008,144.9973,u,2.5,Yarra,Yes
11,Abbotsford,10 Valiant St,1097000,-37.801,144.9989,h,2.5,Yarra,Yes
15,Abbotsford,411/8 Grosvenor St,700000,-37.811,145.0067,u,2.5,Yarra,Yes
16,Abbotsford,40 Nicholson St,1350000,-37.8085,144.9964,h,2.5,Yarra,Yes
17,Abbotsford,123/56 Nicholson St,750000,-37.8078,144.9965,u,2.5,Yarra,Yes
20,Abbotsford,45 William St,1172500,-37.8084,144.9973,h,2.5,Yarra,Yes
21,Abbotsford,7/20 Abbotsford St,441000,-37.8016,144.9988,u,2.5,Yarra,Yes
22,Abbotsford,16 William St,1310000,-37.809,144.9976,h,2.5,Yarra,Yes
23,Abbotsford,42 Henry St,1200000,-37.8056,144.993,h,2.5,Yarra,Yes
25,Abbotsford,78 Yarra St,1176500,-37.8021,144.9965,h,2.5,Yarra,Yes
26,Abbotsford,196 Nicholson St,955000,-37.8022,144.9975,h,2.5,Yarra,Yes
27,Abbotsford,42 Valiant St,890000,-37.8011,145.0004,h,2.5,Yarra,Yes
28,Abbotsford,3/72 Charles St,1330000,-37.8073,144.9952,h,2.5,Yarra,Yes
29,Abbotsford,13/11 Nicholson St,900000,-37.8093,144.9959,t,2.5,Yarra,Yes
30,Abbotsford,138/56 Nicholson St,1090000,-37.8078,144.9965,u,2.5,Yarra,Yes
31,Abbotsford,6/219 Nicholson St,500000,-37.8015,144.9972,u,2.5,Yarra,Yes
32,Abbotsford,52a William St,1100000,-37.8079,144.9977,h,2.5,Yarra,Yes
33,Abbotsford,49 Park St,1315000,-37.808,144.994,h,2.5,Yarra,Yes
36,Abbotsford,5/20 Abbotsford St,426000,-37.8016,144.9988,u,2.5,Yarra,Yes
37,Abbotsford,48 Abbotsford St,1447500,-37.8017,145.0001,h,2.5,Yarra,Yes
38,Abbotsford,116/56 Nicholson St,457000,-37.8078,144.9965,u,2.5,Yarra,Yes
39,Abbotsford,159 Park St,1135000,-37.8005,144.9952,h,2.5,Yarra,Yes
41,Abbotsford,31 Turner St,1542000,-37.7994,144.9965,h,2.5,Yarra,Yes
43,Abbotsford,166 Gipps St,1290000,-37.805,144.9943,h,2.5,Yarra,Yes
44,Abbotsford,60 Stafford St,1290000,-37.8007,144.9958,h,2.5,Yarra,Yes
45,Abbotsford,11/205 Gipps St,470000,-37.8055,144.9961,u,2.5,Yarra,Yes
46,Abbotsford,47 Studley St,1180000,-37.8016,144.9956,h,2.5,Yarra,Yes
47,Abbotsford,45 Yarra St,1195000,-37.8022,144.9954,h,2.5,Yarra,Yes
48,Abbotsford,200 Nicholson St,1012500,-37.8021,144.9976,h,2.5,Yarra,Yes
50,Abbotsford,27 Charles St,1030000,-37.8086,144.9946,h,2.5,Yarra,Yes
117,Albert Park,105 Kerferd Rd,1275000,-37.8459,144.9555,h,3.3,Port Phillip,Not found
118,Albert Park,85 Richardson St,1455000,-37.845,144.9538,h,3.3,Port Phillip,Not found
119,Albert Park,112 Beaconsfield Pde,2850000,-37.8481,144.9499,h,3.3,Port Phillip,Not found
120,Albert Park,94 Graham St,1850000,-37.8452,144.9488,h,3.3,Port Phillip,Not found
121,Albert Park,396 Montague St,1436000,-37.8431,144.9565,h,3.3,Port Phillip,Not found
122,Albert Park,75 Graham St,1110000,-37.8444,144.9484,h,3.3,Port Phillip,Not found
123,Albert Park,54 Brooke St,1550000,-37.8405,144.9521,h,3.3,Port Phillip,Not found
124,Albert Park,104 Richardson St,2300000,-37.8447,144.9523,h,3.3,Port Phillip,Not found
125,Albert Park,4a Mills St,1550000,-37.8443,144.9598,t,3.3,Port Phillip,Not found
126,Albert Park,1 Moubray St,1800000,-37.8415,144.952,h,3.3,Port Phillip,Not found
128,Albert Park,29 Faussett St,2120000,-37.8422,144.9554,h,3.3,Port Phillip,Not found
129,Albert Park,3 Herbert St,1800000,-37.8443,144.9579,h,3.3,Port Phillip,Not found
130,Albert Park,24 Kerferd Pl,1800000,-37.8421,144.9571,h,3.3,Port Phillip,Not found
131,Albert Park,44 Draper St,1810000,-37.8379,144.9539,h,3.3,Port Phillip,Not found
132,Albert Park,2 Dundas Pl,2615000,-37.8415,144.9585,h,3.3,Port Phillip,Not found
133,Albert Park,23 Finlay St,2100000,-37.8436,144.9557,h,3.3,Port Phillip,Not found
134,Albert Park,31 Richardson St,1300000,-37.8422,144.949,h,3.3,Port Phillip,Not found
135,Albert Park,4a Gatehouse La,1370000,-37.8451,144.9511,h,3.3,Port Phillip,Not found
136,Albert Park,60 Brooke St,1000000,-37.8407,144.9523,h,3.3,Port Phillip,Not found
137,Albert Park,70 Barrett St,2575000,-37.8445,144.9501,h,3.3,Port Phillip,Not found
138,Albert Park,65 Graham St,1322500,-37.8443,144.9481,h,3.3,Port Phillip,Not found
139,Albert Park,364 Montague St,1562500,-37.8424,144.9562,h,3.3,Port Phillip,Not found
140,Albert Park,86 Mills St,2000000,-37.847,144.9575,h,3.3,Port Phillip,Not found
141,Albert Park,129 Kerferd Rd,1900000,-37.8468,144.9546,h,3.3,Port Phillip,Not found
142,Albert Park,97 Page St,3010000,-37.8473,144.9551,h,3.3,Port Phillip,Not found
143,Albert Park,55 Withers St,2800000,-37.8467,144.9475,h,3.3,Port Phillip,Not found
144,Albert Park,10/140 Kerferd Rd,647000,-37.846,144.9542,u,3.3,Port Phillip,Not found
145,Albert Park,55 Merton St,2100000,-37.8427,144.9546,h,3.3,Port Phillip,Not found
146,Albert Park,49 Page St,2000000,-37.8461,144.9528,h,3.3,Port Phillip,Not found
147,Albert Park,13/52 Moubray St,442500,-37.8421,144.9517,u,3.3,Port Phillip,Not found
148,Albert Park,115 Page St,4735000,-37.8477,144.9558,h,3.3,Port Phillip,Not found
149,Albert Park,32 Page St,1340000,-37.846,144.9517,h,3.3,Port Phillip,Not found
150,Albert Park,34 Richardson St,1801000,-37.8429,144.9493,h,3.3,Port Phillip,Not found
151,Albert Park,2b Dundas Pl,1532000,-37.8415,144.9585,h,3.3,Port Phillip,Not found
152,Albert Park,22 Greig St,3755000,-37.8413,144.95,h,3.3,Port Phillip,Not found
153,Albert Park,27 Barrett St,2140000,-37.8434,144.9495,h,3.3,Port Phillip,Not found
155,Albert Park,44 Greig St,1750000,-37.8416,144.9488,h,3.3,Port Phillip,Not found
156,Albert Park,6 Brooke St,980000,-37.8387,144.9519,h,3.3,Port Phillip,Not found
157,Albert Park,227a Danks St,2030000,-37.8488,144.9551,h,3.3,Port Phillip,Not found
158,Albert Park,17 Reed St,1740000,-37.8448,144.9453,h,3.3,Port Phillip,Not found
159,Albert Park,74 Bridport St,2800000,-37.8399,144.9577,h,3.3,Port Phillip,Not found
160,Albert Park,9 Durham St,985000,-37.8411,144.9497,h,3.3,Port Phillip,Not found
2209,Carlton North,527 Nicholson St,1330000,-37.7871,144.9766,h,3.2,Yarra,Yes
2210,Carlton North,593 Canning St,1540000,-37.7821,144.9753,h,3.2,Yarra,Yes
2211,Carlton North,112 Newry St,1425000,-37.7893,144.9696,h,3.2,Yarra,Yes
2212,Carlton North,122 Richardson St,1725000,-37.7844,144.972,h,3.2,Yarra,Yes
2213,Carlton North,632 Rathdowne St,1280000,-37.7824,144.9733,h,3.2,Yarra,Yes
2214,Carlton North,989 Drummond St,2950000,-37.7811,144.9715,h,3.2,Yarra,Yes
2215,Carlton North,700 Rathdowne St,2175000,-37.7808,144.9736,h,3.2,Yarra,Yes
2217,Carlton North,2/872 Drummond St,765000,-37.784,144.9715,t,3.2,Yarra,Yes
2218,Carlton North,1 Fletcher La,800000,-37.7852,144.9719,h,3.2,Yarra,Yes
2219,Carlton North,173 MacPherson St,1301000,-37.786,144.9704,h,3.2,Yarra,Yes
2220,Carlton North,967 Drummond St,2718000,-37.7816,144.9714,h,3.2,Yarra,Yes
2221,Carlton North,9/823 Rathdowne St,468000,-37.7851,144.9723,u,3.2,Yarra,Yes
2222,Carlton North,392 Station St,2400000,-37.7875,144.9759,h,3.2,Yarra,Yes
2223,Carlton North,122 Amess St,2210000,-37.7847,144.9741,h,3.2,Yarra,Yes
2224,Carlton North,40 Ogrady St,1330000,-37.7904,144.9726,h,3.2,Yarra,Yes
2225,Carlton North,1018 Drummond St,2520000,-37.7805,144.9721,h,3.2,Yarra,Yes
2226,Carlton North,354 Station St,1214000,-37.7885,144.9757,h,3.2,Yarra,Yes
2227,Carlton North,462 Canning St,1955000,-37.786,144.9751,h,3.2,Yarra,Yes
2228,Carlton North,26/174 Lee St,390000,-37.7907,144.9691,u,3.2,Yarra,Yes
2229,Carlton North,119 Curtain St,885000,-37.7888,144.9698,h,3.2,Yarra,Yes
2230,Carlton North,75 Fenwick St,2050000,-37.7879,144.9736,h,3.2,Yarra,Yes
2231,Carlton North,16 Fenwick St,910000,-37.7879,144.9759,h,3.2,Yarra,Yes
2232,Carlton North,658 Lygon St,880000,-37.7911,144.9688,h,3.2,Yarra,Yes
2233,Carlton North,292 Amess St,1950000,-37.7804,144.9748,h,3.2,Yarra,Yes
2234,Carlton North,167 Richardson St,1280000,-37.7846,144.9704,h,3.2,Yarra,Yes
2235,Carlton North,14/1102 Lygon St,437000,-37.7798,144.9707,u,3.2,Yarra,Yes
2236,Carlton North,984 Lygon St,1150000,-37.7828,144.9702,h,3.2,Yarra,Yes
2237,Carlton North,4 Mary St,520000,-37.7813,144.9773,u,3.2,Yarra,Yes
2240,Carlton North,24/635 Drummond St,570000,-37.7902,144.97,u,3.2,Yarra,Yes
2474,Clifton Hill,60a Hodgkinson St,1270000,-37.7902,144.9894,h,3.4,Yarra,Yes
