,Suburb,Address,Price,Lattitude,Longtitude,Type,Distance,CouncilArea,public_transport.train Name
53,Airport West,50 Bedford St,730000,-37.7203,144.8755,h,13.5,Moonee Valley,Not found
54,Airport West,50 Bedford St,770000,-37.7203,144.8755,h,13.5,Moonee Valley,Not found
55,Airport West,23 Hart St,603000,-37.7294,144.888,h,13.5,Moonee Valley,Not found
57,Airport West,1/37 Hillside Gr,600000,-37.7273,144.8744,h,13.5,Moonee Valley,Not found
64,Airport West,54 Marshall Rd,720000,-37.7173,144.8872,h,13.5,Moonee Valley,Not found
65,Airport West,36 Roberts Rd,785000,-37.7259,144.8792,h,13.5,Moonee Valley,Not found
66,Airport West,11 Harrington Rd,725000,-37.7239,144.8735,h,13.5,Moonee Valley,Not found
71,Airport West,3 Deidre Ct,895000,-37.7249,144.8728,h,13.5,Moonee Valley,Not found
73,Airport West,13 Etzel St,805000,-37.7217,144.8783,h,13.5,Moonee Valley,Not found
81,Airport West,241 Parer Rd,755000,-37.7248,144.8699,h,13.5,Moonee Valley,Not found
85,Airport West,180 Parer Rd,830000,-37.7186,144.876,h,13.5,Moonee Valley,Not found
87,Airport West,43 Hillside Gr,670000,-37.7269,144.8742,h,13.5,Moonee Valley,Not found
88,Airport West,174 Parer Rd,675000,-37.7187,144.8765,h,13.5,Moonee Valley,Not found
89,Airport West,138 Victory Rd,1042000,-37.7173,144.8796,h,13.5,Moonee Valley,Not found
90,Airport West,75 King St,910000,-37.7231,144.8835,h,13.5,Moonee Valley,Not found
91,Airport West,6 Kittyhawk St,773000,-37.7263,144.8679,h,13.5,Moonee Valley,Not found
93,Airport West,478 Fullarton Rd,810000,-37.7285,144.8694,h,13.5,Moonee Valley,Not found
94,Airport West,144 Marshall Rd,715000,-37.7164,144.8792,h,13.5,Moonee Valley,Not found
95,Airport West,106 Parer Rd,790000,-37.7194,144.8827,h,13.5,Moonee Valley,Not found
99,Airport West,10 Hilbert Rd,685000,-37.7226,144.8733,h,13.5,Moonee Valley,Not found
101,Airport West,110 Halsey Rd,805000,-37.7184,144.882,h,13.5,Moonee Valley,Not found
103,Airport West,105a Victory Rd,612000,-37.7181,144.8824,h,13.5,Moonee Valley,Not found
104,Airport West,117 Marshall Rd,662000,-37.7169,144.8815,h,13.5,Moonee Valley,Not found
105,Airport West,34 Moorna Dr,978000,-37.7263,144.869,h,13.5,Moonee Valley,Not found
106,Airport West,33 North St,720000,-37.72,144.878,h,13.5,Moonee Valley,Not found
112,Airport West,49 Roberts Rd,765000,-37.7261,144.8785,h,13.5,Moonee Valley,Not found
113,Airport West,85 Roberts Rd,900000,-37.7256,144.8739,h,13.5,Moonee Valley,Not found
190,Altona,158 Queen St,520000,-37.87,144.825,h,13.8,Hobsons Bay,Yes
191,Altona,59 Bracken Gr,1525000,-37.8721,144.8105,h,13.8,Hobsons Bay,Yes
193,Altona,4 Blyth St,1120000,-37.8693,144.8375,h,13.8,Hobsons Bay,Yes
194,Altona,20 Linnet St,780000,-37.868,144.8154,h,13.8,Hobsons Bay,Yes
195,Altona,29 Rose St,1780000,-37.8681,144.819,h,13.8,Hobsons Bay,Yes
198,Altona,156 Maidstone St,660000,-37.8616,144.8116,h,13.8,Hobsons Bay,Yes
199,Altona,11 Keeshan Ct,683500,-37.8594,144.817,h,13.8,Hobsons Bay,Yes
202,Altona,173 Queen St,1335000,-37.8697,144.8249,h,13.8,Hobsons Bay,Yes
205,Altona,261 Queen St,1070000,-37.8733,144.8147,h,13.8,Hobsons Bay,Yes
211,Altona,24 Wren St,845000,-37.8658,144.8155,h,13.8,Hobsons Bay,Yes
217,Altona,164 Maidstone St,635000,-37.8611,144.8114,h,13.8,Hobsons Bay,Yes
221,Altona,22 Fenfield St,678000,-37.8608,144.8124,h,13.8,Hobsons Bay,Yes
223,Altona,1/28 Seves St,712000,-37.8674,144.8375,h,13.8,Hobsons Bay,Yes
224,Altona,27 McIntyre Dr,840000,-37.86,144.8245,h,13.8,Hobsons Bay,Yes
225,Altona,4 Boyd St,980000,-37.8672,144.817,h,13.8,Hobsons Bay,Yes
228,Altona,185 Queen St,880000,-37.8699,144.8235,h,13.8,Hobsons Bay,Yes
230,Altona,51 Millers Rd,1030000,-37.8663,144.8387,h,13.8,Hobsons Bay,Yes
233,Altona,24 McIntyre Dr,753000,-37.8612,144.8247,h,13.8,Hobsons Bay,Yes
234,Altona,104 Maidstone St,857000,-37.8653,144.8129,h,13.8,Hobsons Bay,Yes
235,Altona,49 Bent St,1500000,-37.8651,144.832,h,13.8,Hobsons Bay,Yes
237,Altona,15 Kookaburra St,900000,-37.871,144.8075,h,13.8,Hobsons Bay,Yes
238,Altona,219 Civic Pde,740000,-37.8631,144.8195,h,13.8,Hobsons Bay,Yes
239,Altona,3 Curtin Ct,931000,-37.8637,144.8365,h,13.8,Hobsons Bay,Yes
240,Altona,2/60 David St,535600,-37.8646,144.8272,h,13.8,Hobsons Bay,Yes
241,Altona North,45 Hearn St,1085000,-37.8388,144.8567,h,11.1,Hobsons Bay,Not found
242,Altona North,4 Knapp St,781000,-37.8291,144.835,h,11.1,Hobsons Bay,Not found
245,Altona North,21 Hatherley Gr,750000,-37.8449,144.85,h,11.1,Hobsons Bay,Not found
247,Altona North,153 Mills St,1405000,-37.8338,144.8562,h,11.1,Hobsons Bay,Not found
248,Altona North,33 Carthy St,683000,-37.8284,144.8355,h,11.1,Hobsons Bay,Not found
249,Altona North,16 Harris St,623000,-37.8267,144.8368,h,11.1,Hobsons Bay,Not found
250,Altona North,1/5 Little St,720000,-37.8379,144.8583,h,11.1,Hobsons Bay,Not found
254,Altona North,1/95 Mills St,588000,-37.838,144.8555,h,11.1,Hobsons Bay,Not found
256,Altona North,5 Binns St,710000,-37.8294,144.8378,h,11.1,Hobsons Bay,Not found
260,Altona North,25 Allan St,875000,-37.8448,144.8529,h,11.1,Hobsons Bay,Not found
263,Altona North,21 Hatherley Gr,700000,-37.8449,144.85,h,11.1,Hobsons Bay,Not found
267,Altona North,21 Allan St,650000,-37.8451,144.8529,h,11.1,Hobsons Bay,Not found
272,Altona North,2/36 May St,675000,-37.8337,144.8554,h,11.1,Hobsons Bay,Not found
273,Altona North,11 Beevers St,708000,-37.8258,144.8523,h,11.1,Hobsons Bay,Not found
276,Altona North,10 Murphy St,965000,-37.8345,144.8444,h,11.1,Hobsons Bay,Not found
285,Altona North,16 Beevers St,680000,-37.8254,144.8514,h,11.1,Hobsons Bay,Not found
287,Altona North,21 Neal Ct,770000,-37.8327,144.8451,h,11.1,Hobsons Bay,Not found
288,Altona North,31 Duosa Rd,923000,-37.8269,144.8455,h,11.1,Hobsons Bay,Not found
289,Altona North,252 Millers Rd,693000,-37.8391,144.8467,h,11.1,Hobsons Bay,Not found
290,Altona North,1/156 Chambers Rd,620000,-37.8262,144.8443,h,11.1,Hobsons Bay,Not found
