Date*,Owner Occupier Standard Variable Rate,RBA Cash Rate
8-Mar-23,,3.6
8-Feb-23,7.77,3.35
7-Dec-22,7.52,3.1
2-Nov-22,7.27,2.85
5-Oct-22,7.02,2.6
7-Sep-22,6.77,2.35
3-Aug-22,6.27,1.85
6-Jul-22,5.77,1.35
8-Jun-22,5.27,0.85
4-May-22,4.77,0.35
4-Nov-20,4.52,0.1
20-Mar-20,4.52,0.25
4-Mar-20,4.52,0.5
2-Oct-19,4.8,0.75
3-Jul-19,4.94,1
5-Jun-19,5.15,1.25
1-May-19,5.26,1.5
1-Apr-19,5.26,1.5
1-Mar-19,5.26,1.5
1-Feb-19,5.26,1.5
1-Jan-19,5.26,1.5
1-Dec-18,5.26,1.5
1-Nov-18,5.26,1.5
1-Oct-18,5.26,1.5
1-Sep-18,5.26,1.5
1-Aug-18,5.26,1.5
1-Jul-18,5.26,1.5
1-Jun-18,5.26,1.5
1-May-18,5.26,1.5
1-Apr-18,5.26,1.5
1-Mar-18,5.26,1.5
1-Feb-18,5.26,1.5
1-Jan-18,5.26,1.5
1-Dec-17,5.26,1.5
1-Nov-17,5.26,1.5
1-Oct-17,5.26,1.5
1-Sep-17,5.26,1.5
1-Aug-17,5.26,1.5
1-Jul-17,5.26,1.5
1-Jun-17,5.26,1.5
1-May-17,5.26,1.5
1-Apr-17,5.26,1.5
1-Mar-17,5.26,1.5
1-Feb-17,5.26,1.5
1-Jan-17,5.26,1.5
1-Dec-16,5.26,1.5
1-Nov-16,5.26,1.5
1-Oct-16,5.26,1.5
1-Sep-16,5.26,1.5
3-Aug-16,5.26,1.5
4-Jul-16,5.39,1.75
4-Jun-16,5.39,1.75
4-May-16,5.39,1.75
5-Apr-16,5.46,2
6-Mar-16,5.46,2
4-Feb-16,5.46,2
5-Jan-16,5.46,2
6-Dec-15,5.46,2
4-Nov-15,5.46,2
5-Oct-15,5.46,2
6-Sep-15,5.46,2
6-Aug-15,5.46,2
6-Jul-15,5.46,2
6-Jun-15,5.46,2
6-May-15,5.46,2
4-Feb-15,5.67,2.25
7-Aug-13,5.93,2.5
8-May-13,6.18,2.75
5-Dec-12,6.44,3
3-Oct-12,6.64,3.25
6-Jun-12,6.83,3.5
2-May-12,7.04,3.75
7-Dec-11,7.3,4.25
2-Nov-11,7.55,4.5
3-Nov-10,7.79,4.75
5-May-10,7.39,4.5
7-Apr-10,7.14,4.25
3-Mar-10,6.89,4
2-Dec-09,6.64,3.75
4-Nov-09,6.28,3.5
7-Oct-09,6.03,3.25
8-Apr-09,5.76,3
4-Feb-09,5.84,3.25
3-Dec-08,6.84,4.25
5-Nov-08,7.73,5.25
8-Oct-08,8.34,6
3-Sep-08,9.36,7
5-Mar-08,9.34,7.25
6-Feb-08,8.99,7
7-Nov-07,8.57,6.75
8-Aug-07,8.32,6.5
8-Nov-06,8.07,6.25
2-Aug-06,7.82,6
3-May-06,7.57,5.75
2-Mar-05,7.32,5.5
3-Dec-03,7.07,5.25
5-Nov-03,6.82,5
5-Jun-02,6.57,4.75
8-May-02,6.32,4.5
5-Dec-01,6.07,4.25
3-Oct-01,6.32,4.5
5-Sep-01,6.57,4.75
4-Apr-01,6.57,5
7-Mar-01,7.32,5.5
7-Feb-01,7.57,5.75
2-Aug-00,8.07,6.25
3-May-00,7.8,6
5-Apr-00,7.55,5.75
2-Feb-00,7.3,5.5
3-Nov-99,6.75,5
2-Dec-98,6.52,4.75
30-Jul-97,7.05,5
23-May-97,7.13,5.5
11-Dec-96,8.48,6
6-Nov-96,8.88,6.5
31-Jul-96,9.91,7
14-Dec-94,9.97,7.5
24-Oct-94,9.36,6.5
17-Aug-94,8.75,5.5
30-Jul-93,9.5,4.75
23-Mar-93,9.92,5.25
8-Jul-92,10.3,5.75
6-May-92,11,6.5
8-Jan-92,11.75,7.5
6-Nov-91,12.5,8.5
3-Sep-91,13,9.5
16-May-91,13.88,10.5
4-Apr-91,14.38,11.5
18-Dec-90,15.13,12
15-Oct-90,16,13
2-Aug-90,16.38,14
